customer,state,customer_lifetime_value,response,coverage,education,effective_to_date,employment_status,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,year,month,day_week
IL66569,California,5384.431665,No,Basic,College,2011-01-18,Employed,M,83689.0,Urban,Single,70.0,21,10,2,8,Corporate Auto,Offer4,Call Center,307.139132,Four-Door Car,Medsize,2011,1,18
BW63560,Oregon,7463.139377,No,Basic,Bachelor,2011-01-17,Employed,F,24599.0,Rural,Married,64.0,12,50,1,2,Corporate Auto,Offer2,Branch,42.920271,Four-Door Car,Medsize,2011,1,17
FV94802,Nevada,2566.867823,No,Basic,High School or Below,2011-02-06,Unemployed,M,25049.0,Suburban,Married,67.0,14,7,0,1,Personal Auto,Offer2,Call Center,454.245098,Two-Door Car,Medsize,2011,2,6
OE15005,California,3945.241604,No,Basic,College,2011-01-05,Unemployed,M,28855.0,Suburban,Married,101.0,12,59,0,1,Personal Auto,Offer3,Call Center,647.442031,SUV,Medsize,2011,1,5
WC83389,Oregon,5710.333115,No,Basic,College,2011-02-27,Employed,M,51148.0,Urban,Married,72.0,9,1,0,7,Personal Auto,Offer2,Branch,308.981664,Four-Door Car,Medsize,2011,2,27
FL50705,California,8162.617053,No,Premium,High School or Below,2011-01-14,Employed,F,66140.0,Suburban,Married,101.0,11,21,0,3,Corporate Auto,Offer1,Call Center,484.8,Four-Door Car,Small,2011,1,14
ZK25313,Oregon,2872.051273,No,Basic,High School or Below,2011-02-19,Employed,M,57749.0,Suburban,Single,74.0,31,21,0,1,Personal Auto,Offer1,Branch,355.2,Two-Door Car,Medsize,2011,2,19
SV62436,Washington,3041.791561,No,Extended,Bachelor,2011-01-21,Unemployed,F,13789.0,Suburban,Divorced,79.0,8,49,0,1,Personal Auto,Offer4,Call Center,379.2,Four-Door Car,Medsize,2011,1,21
YH23384,Arizona,24127.50402,Yes,Basic,Bachelor,2011-01-26,Unemployed,M,14072.0,Suburban,Divorced,71.0,13,3,0,2,Personal Auto,Offer1,Agent,511.2,Four-Door Car,Medsize,2011,1,26
TZ98966,Nevada,2450.190996,No,Basic,Bachelor,2011-02-24,Unemployed,F,0.0,Suburban,Single,73.0,4,44,3,1,Corporate Auto,Offer1,Branch,554.376763,Four-Door Car,Medsize,2011,2,24
HM55802,California,2392.10789,No,Basic,Bachelor,2011-02-05,Unemployed,F,17870.0,Suburban,Married,61.0,30,91,0,1,Corporate Auto,Offer2,Branch,439.2,Four-Door Car,Medsize,2011,2,5
FS42516,Oregon,5802.065978,No,Basic,College,2011-01-29,Employed,M,97541.0,Suburban,Married,72.0,22,1,0,3,Personal Auto,Offer2,Call Center,389.185006,Four-Door Car,Large,2011,1,29
US89481,California,3946.372085,No,Premium,Bachelor,2011-02-28,Unemployed,F,0.0,Suburban,Single,111.0,15,47,0,1,Personal Auto,Offer1,Agent,799.2,Four-Door Car,Small,2011,2,28
HO30839,Washington,5346.916576,No,Extended,High-level-degree,2011-02-12,Unemployed,F,10511.0,Urban,Married,139.0,33,64,0,1,Corporate Auto,Offer1,Branch,516.237951,SUV,Medsize,2011,2,12
GE62437,Arizona,12902.56014,No,Premium,College,2011-02-02,Employed,F,86584.0,Suburban,Single,111.0,33,54,2,2,Personal Auto,Offer1,Call Center,532.8,Four-Door Car,Large,2011,2,2
EJ77678,Oregon,3235.360468,No,Extended,High-level-degree,2011-02-07,Employed,F,75690.0,Suburban,Married,80.0,17,44,1,1,Personal Auto,Offer2,Branch,384.0,Four-Door Car,Small,2011,2,7
SV85652,Arizona,2454.58354,No,Basic,College,2011-02-28,Employed,M,23158.0,Suburban,Married,63.0,4,6,1,1,Personal Auto,Offer4,Call Center,322.294043,Four-Door Car,Small,2011,2,28
UL64533,Nevada,18975.45611,No,Extended,High School or Below,2011-01-22,Employed,M,65999.0,Urban,Married,237.0,1,14,0,6,Corporate Auto,Offer2,Agent,615.927769,Luxury-Sport,Medsize,2011,1,22
PF41800,California,4715.321344,No,Basic,Bachelor,2011-01-25,Unemployed,M,0.0,Urban,Married,65.0,19,56,0,3,Personal Auto,Offer1,Call Center,308.15089,Four-Door Car,Medsize,2011,1,25
AO98601,Washington,5018.885233,No,Basic,Bachelor,2011-01-18,Employed,M,54500.0,Suburban,Married,63.0,28,17,0,6,Corporate Auto,Offer1,Agent,302.4,Two-Door Car,Small,2011,1,18
SK67821,Oregon,4932.916345,No,Basic,Bachelor,2011-02-13,Employed,F,37260.0,Rural,Married,62.0,19,42,0,8,Corporate Auto,Offer3,Web,15.437681,Four-Door Car,Medsize,2011,2,13
YV55495,Arizona,5744.229745,No,Basic,High School or Below,2011-01-15,Employed,F,68987.0,Urban,Married,71.0,11,40,0,6,Personal Auto,Offer1,Branch,204.475147,Four-Door Car,Medsize,2011,1,15
KY38074,California,13891.73567,No,Premium,Bachelor,2011-01-08,Employed,M,42305.0,Suburban,Married,117.0,10,62,0,2,Personal Auto,Offer1,Agent,561.6,Four-Door Car,Small,2011,1,8
DM79012,Oregon,7380.976717,No,Extended,High-level-degree,2011-02-06,Employed,F,65706.0,Suburban,Married,91.0,19,86,0,8,Personal Auto,Offer2,Web,436.8,Four-Door Car,Small,2011,2,6
CM61827,Oregon,3090.034104,No,Extended,Bachelor,2011-01-25,Unemployed,M,0.0,Suburban,Single,90.0,7,79,0,1,Personal Auto,Offer3,Agent,648.0,Two-Door Car,Small,2011,1,25
WC35801,Arizona,2521.633095,No,Basic,High School or Below,2011-02-07,Employed,M,53243.0,Rural,Divorced,66.0,4,15,2,1,Personal Auto,Offer1,Call Center,157.397849,Four-Door Car,Medsize,2011,2,7
QG25316,Nevada,2652.061785,No,Basic,High School or Below,2011-01-18,Unemployed,F,0.0,Suburban,Married,70.0,7,1,1,1,Corporate Auto,Offer3,Call Center,484.318536,Two-Door Car,Medsize,2011,1,18
MB98372,Oregon,2771.045031,Yes,Basic,College,2011-01-11,Employed,F,50071.0,Rural,Single,71.0,3,32,0,1,Corporate Auto,Offer2,Agent,18.918935,Two-Door Car,Medsize,2011,1,11
IL19217,California,3939.00637,Yes,Extended,Bachelor,2011-01-28,Employed,F,60021.0,Suburban,Married,99.0,12,28,0,1,Personal Auto,Offer2,Agent,882.871945,Four-Door Car,Small,2011,1,28
SR38658,Arizona,12231.87968,No,Basic,High School or Below,2011-02-08,Employed,M,43244.0,Suburban,Married,103.0,15,16,0,2,Personal Auto,Offer4,Agent,494.4,Luxury-Sport,Medsize,2011,2,8
DH41343,Washington,2443.665166,No,Basic,College,2011-02-23,Employed,M,92834.0,Suburban,Married,61.0,15,56,0,1,Special Auto,Offer2,Call Center,292.8,Four-Door Car,Large,2011,2,23
HG65722,Oregon,12819.10289,No,Premium,High-level-degree,2011-01-25,Unemployed,F,10105.0,Rural,Married,172.0,5,4,3,3,Personal Auto,Offer1,Branch,0.517753,SUV,Medsize,2011,1,25
BU27331,Arizona,4468.510542,No,Basic,Bachelor,2011-01-31,Unemployed,M,0.0,Suburban,Single,73.0,7,57,3,5,Personal Auto,Offer3,Call Center,579.165954,Four-Door Car,Medsize,2011,1,31
XM45289,Oregon,5514.344018,No,Basic,High School or Below,2011-01-02,Employed,F,23218.0,Suburban,Single,71.0,7,10,0,4,Personal Auto,Offer4,Agent,447.79344,Two-Door Car,Medsize,2011,1,2
KP34198,California,3343.875326,No,Extended,Bachelor,2011-02-07,Unemployed,F,0.0,Suburban,Married,92.0,11,77,0,1,Corporate Auto,Offer2,Call Center,529.624084,Four-Door Car,Medsize,2011,2,7
SH90947,Arizona,2294.478927,No,Basic,High School or Below,2011-01-18,Unemployed,F,0.0,Suburban,Married,62.0,11,56,0,1,Personal Auto,Offer4,Branch,313.023175,Four-Door Car,Medsize,2011,1,18
WE95729,Oregon,36707.42639,No,Basic,College,2011-01-17,Employed,M,24804.0,Suburban,Married,104.0,1,28,0,2,Personal Auto,Offer1,Agent,593.830288,SUV,Small,2011,1,17
PY51963,California,33473.34946,Yes,Basic,Bachelor,2011-01-11,Employed,F,33190.0,Suburban,Divorced,106.0,18,95,0,2,Corporate Auto,Offer1,Web,508.8,SUV,Medsize,2011,1,11
RB69909,Nevada,7983.431709,No,Basic,High School or Below,2011-02-21,Employed,F,36014.0,Rural,Married,69.0,4,40,3,2,Special Auto,Offer4,Branch,173.956072,Four-Door Car,Medsize,2011,2,21
XR95069,Washington,4854.745666,No,Basic,Bachelor,2011-02-16,Employed,M,29834.0,Suburban,Single,64.0,19,44,0,3,Personal Auto,Offer4,Agent,307.2,Four-Door Car,Medsize,2011,2,16
FR46645,California,4293.997319,No,Premium,Bachelor,2011-01-17,Unemployed,M,16701.0,Suburban,Married,113.0,20,26,0,1,Personal Auto,Offer1,Branch,831.625979,Four-Door Car,Small,2011,1,17
SY17488,Arizona,7164.395543,No,Extended,College,2011-02-05,Employed,F,46623.0,Suburban,Divorced,91.0,1,53,0,3,Corporate Auto,Offer3,Call Center,436.8,Four-Door Car,Small,2011,2,5
AP67935,California,7619.5158,No,Basic,College,2011-02-13,Employed,M,64749.0,Urban,Married,64.0,24,59,0,2,Special Auto,Offer2,Branch,302.56519,Four-Door Car,Medsize,2011,2,13
FS37417,Arizona,3958.002823,No,Basic,High School or Below,2011-02-23,Unemployed,F,0.0,Suburban,Married,101.0,29,12,0,1,Personal Auto,Offer1,Call Center,484.8,SUV,Small,2011,2,23
ML29312,Oregon,4499.493252,No,Extended,High School or Below,2011-01-28,Unemployed,F,16969.0,Suburban,Divorced,124.0,34,47,2,1,Personal Auto,Offer1,Call Center,704.768111,SUV,Medsize,2011,1,28
UB61619,Oregon,4059.567414,No,Premium,High-level-degree,2011-02-28,Unemployed,F,11621.0,Suburban,Divorced,108.0,4,98,0,1,Personal Auto,Offer1,Agent,518.4,Four-Door Car,Medsize,2011,2,28
CD86811,Arizona,4458.113369,Yes,Basic,Bachelor,2011-01-02,Unemployed,M,17622.0,Suburban,Divorced,65.0,1,36,1,3,Personal Auto,Offer1,Agent,312.0,Four-Door Car,Medsize,2011,1,2
RU83859,California,8110.333139,No,Premium,Bachelor,2011-01-22,Unemployed,F,11489.0,Suburban,Married,105.0,4,50,0,6,Personal Auto,Offer1,Call Center,504.0,Two-Door Car,Small,2011,1,22
FG63582,Oregon,3339.764873,No,Extended,Bachelor,2011-01-15,Unemployed,M,0.0,Suburban,Single,94.0,20,53,0,1,Personal Auto,Offer1,Agent,863.327324,Two-Door Car,Small,2011,1,15
NN71951,California,24261.01777,No,Basic,High School or Below,2011-01-27,Employed,F,66525.0,Rural,Married,100.0,0,86,0,2,Personal Auto,Offer1,Agent,104.331355,SUV,Medsize,2011,1,27
WB37082,Arizona,6613.973653,No,Basic,Bachelor,2011-01-23,Unemployed,F,0.0,Suburban,Single,63.0,21,28,0,2,Personal Auto,Offer3,Branch,676.391482,Four-Door Car,Large,2011,1,23
SM52139,Washington,2930.693543,No,Basic,College,2011-01-31,Employed,M,33663.0,Suburban,Married,73.0,29,71,0,1,Personal Auto,Offer3,Web,350.4,Four-Door Car,Medsize,2011,1,31
FL82372,Oregon,8672.194272,No,Basic,College,2011-01-26,Employed,F,22547.0,Suburban,Divorced,112.0,7,60,0,3,Corporate Auto,Offer1,Agent,537.6,SUV,Medsize,2011,1,26
DP45816,Arizona,11638.66926,No,Extended,High School or Below,2011-01-10,Employed,F,61486.0,Urban,Married,97.0,5,65,0,2,Personal Auto,Offer4,Branch,465.258644,Two-Door Car,Small,2011,1,10
GW33762,Oregon,6846.150323,Yes,Extended,Bachelor,2011-01-27,Unemployed,F,0.0,Suburban,Divorced,95.0,13,20,0,5,Personal Auto,Offer1,Call Center,456.0,Two-Door Car,Large,2011,1,27
RZ33670,California,11727.77648,No,Premium,College,2011-01-09,Unemployed,F,29879.0,Suburban,Married,102.0,17,0,0,2,Personal Auto,Offer3,Web,500.254235,Four-Door Car,Medsize,2011,1,9
PY70169,Oregon,22643.83478,No,Basic,High School or Below,2011-02-24,Employed,M,93011.0,Rural,Divorced,113.0,17,12,0,2,Personal Auto,Offer4,Agent,281.451042,SUV,Medsize,2011,2,24
MO91628,Oregon,2614.474305,No,Basic,High-level-degree,2011-02-11,Employed,M,65186.0,Rural,Married,65.0,29,27,0,1,Personal Auto,Offer2,Web,5.434505,Two-Door Car,Large,2011,2,11
HW87852,Oregon,2451.752695,No,Basic,High-level-degree,2011-02-12,Unemployed,M,26840.0,Suburban,Married,64.0,1,47,2,1,Personal Auto,Offer1,Agent,307.2,Four-Door Car,Medsize,2011,2,12
HB20453,Oregon,6781.270203,No,Basic,Bachelor,2011-02-04,Unemployed,M,0.0,Suburban,Single,104.0,30,3,1,5,Personal Auto,Offer1,Agent,982.399613,Luxury-Sport,Medsize,2011,2,4
BN87372,Oregon,4974.801539,Yes,Basic,Bachelor,2011-01-18,Employed,M,75644.0,Suburban,Divorced,65.0,5,68,3,9,Personal Auto,Offer2,Branch,467.803638,Two-Door Car,Medsize,2011,1,18
YX23800,Oregon,8591.604933,No,Basic,Bachelor,2011-02-11,Employed,M,38984.0,Suburban,Married,73.0,27,38,0,2,Personal Auto,Offer2,Branch,350.4,Four-Door Car,Small,2011,2,11
DZ87709,Oregon,5592.161392,No,Basic,High School or Below,2011-02-01,Employed,F,71811.0,Rural,Single,71.0,17,48,0,6,Personal Auto,Offer2,Call Center,29.03416,Four-Door Car,Medsize,2011,2,1
XW13033,Nevada,8009.472833,No,Basic,College,2011-02-15,Employed,M,20961.0,Suburban,Married,67.0,20,33,0,2,Personal Auto,Offer2,Agent,321.6,Four-Door Car,Medsize,2011,2,15
LN31673,Washington,11318.08982,No,Extended,College,2011-02-06,Employed,M,38923.0,Rural,Married,99.0,6,83,2,2,Personal Auto,Offer1,Agent,115.728852,Four-Door Car,Medsize,2011,2,6
OM82309,California,58166.55351,No,Basic,Bachelor,2011-02-27,Employed,M,61321.0,Rural,Single,186.0,0,30,1,2,Personal Auto,Offer2,Branch,427.63121,Luxury-Sport,Small,2011,2,27
ZU35962,California,8025.229358,No,Extended,College,2011-01-26,Unemployed,F,0.0,Rural,Single,77.0,20,26,0,2,Personal Auto,Offer3,Branch,25.807685,Two-Door Car,Large,2011,1,26
VH85817,California,5780.182197,Yes,Basic,High School or Below,2011-02-26,Employed,M,51066.0,Suburban,Single,74.0,23,0,0,8,Personal Auto,Offer2,Call Center,787.993313,Four-Door Car,Medsize,2011,2,26
DT85712,California,4118.539113,No,Basic,High-level-degree,2011-01-27,Employed,M,34378.0,Suburban,Married,102.0,12,54,0,1,Personal Auto,Offer3,Branch,489.6,SUV,Medsize,2011,1,27
YJ88573,Nevada,2523.07015,No,Basic,High-level-degree,2011-01-16,Employed,M,43072.0,Suburban,Married,63.0,35,15,0,1,Personal Auto,Offer2,Call Center,302.4,Four-Door Car,Large,2011,1,16
SQ19467,Oregon,6554.216396,No,Extended,College,2011-01-27,Unemployed,F,25222.0,Suburban,Single,90.0,28,69,0,3,Personal Auto,Offer2,Agent,475.623251,Four-Door Car,Small,2011,1,27
HF88410,Washington,7703.397294,No,Basic,High School or Below,2011-02-28,Employed,M,36765.0,Suburban,Married,66.0,15,32,1,2,Personal Auto,Offer1,Call Center,320.849072,Four-Door Car,Medsize,2011,2,28
ET79815,California,5926.729379,Yes,Extended,College,2011-01-25,Unemployed,M,23091.0,Suburban,Married,96.0,28,90,5,5,Personal Auto,Offer1,Agent,460.8,Four-Door Car,Medsize,2011,1,25
QC35222,California,2683.470677,No,Basic,Bachelor,2011-01-01,Employed,F,48269.0,Urban,Married,69.0,3,79,3,1,Corporate Auto,Offer3,Web,282.151207,Four-Door Car,Medsize,2011,1,1
CJ15590,Oregon,2695.182419,No,Basic,Bachelor,2011-02-01,Employed,F,32720.0,Suburban,Divorced,67.0,13,12,0,1,Personal Auto,Offer3,Branch,321.6,Four-Door Car,Medsize,2011,2,1
OI48267,California,6047.02516,Yes,Extended,College,2011-02-19,Employed,M,20396.0,Suburban,Married,76.0,15,60,1,4,Personal Auto,Offer1,Branch,364.8,Four-Door Car,Medsize,2011,2,19
JY67916,Oregon,13171.01282,No,Premium,College,2011-01-27,Unemployed,M,21513.0,Suburban,Married,119.0,21,81,1,2,Personal Auto,Offer2,Branch,679.827592,Two-Door Car,Small,2011,1,27
OE75231,Washington,10656.88195,Yes,Extended,Bachelor,2011-02-27,Employed,F,72540.0,Suburban,Married,88.0,7,3,0,2,Corporate Auto,Offer2,Call Center,631.743039,Two-Door Car,Medsize,2011,2,27
CZ33664,Oregon,2527.653796,No,Basic,Bachelor,2011-01-17,Employed,F,80744.0,Rural,Married,63.0,24,84,0,1,Corporate Auto,Offer1,Agent,11.879037,Four-Door Car,Medsize,2011,1,17
WK30175,Oregon,2672.095756,No,Basic,Bachelor,2011-02-10,Employed,M,52822.0,Suburban,Married,67.0,23,88,0,1,Corporate Auto,Offer1,Branch,350.529033,Two-Door Car,Small,2011,2,10
ON44465,California,5313.294035,No,Extended,High School or Below,2011-01-24,Unemployed,F,0.0,Suburban,Single,77.0,8,10,1,9,Personal Auto,Offer1,Agent,863.3947,Four-Door Car,Medsize,2011,1,24
TV87155,Oregon,20946.19251,No,Basic,Bachelor,2011-02-24,Employed,F,69738.0,Suburban,Married,74.0,2,26,1,2,Personal Auto,Offer1,Branch,492.127532,Four-Door Car,Large,2011,2,24
KH48895,Arizona,8375.353929,No,Basic,High-level-degree,2011-02-15,Unemployed,F,17780.0,Rural,Married,109.0,12,18,0,9,Personal Auto,Offer1,Branch,132.588288,SUV,Medsize,2011,2,15
NZ30757,California,4801.661503,No,Basic,Bachelor,2011-02-16,Unemployed,M,18107.0,Suburban,Married,62.0,29,11,0,8,Personal Auto,Offer1,Agent,297.6,Four-Door Car,Medsize,2011,2,16
RI22468,Arizona,5745.94334,No,Basic,Bachelor,2011-01-22,Employed,F,57740.0,Urban,Married,74.0,30,87,3,9,Personal Auto,Offer3,Web,269.905129,Four-Door Car,Medsize,2011,1,22
FZ30935,Oregon,6066.115969,No,Extended,College,2011-02-25,Employed,M,32627.0,Suburban,Married,76.0,11,60,0,7,Personal Auto,Offer1,Agent,380.036697,Two-Door Car,Small,2011,2,25
UG93476,California,8002.308333,Yes,Basic,College,2011-01-11,Unemployed,F,0.0,Suburban,Married,107.0,3,65,0,3,Personal Auto,Offer1,Agent,513.6,SUV,Medsize,2011,1,11
AB96670,California,2393.915369,Yes,Basic,College,2011-01-31,Unemployed,M,0.0,Suburban,Single,70.0,24,10,0,1,Personal Auto,Offer1,Branch,425.266308,Four-Door Car,Medsize,2011,1,31
XK64261,Oregon,4762.8179,No,Basic,Bachelor,2011-01-12,Employed,M,65795.0,Rural,Single,62.0,2,85,1,3,Corporate Auto,Offer3,Call Center,49.011099,Two-Door Car,Medsize,2011,1,12
EV68375,California,4330.38602,Yes,Premium,College,2011-02-16,Employed,M,60475.0,Suburban,Married,107.0,9,18,0,1,Personal Auto,Offer2,Branch,513.6,Four-Door Car,Medsize,2011,2,16
UN51653,California,9402.729769,No,Extended,High School or Below,2011-02-09,Unemployed,F,0.0,Suburban,Single,130.0,28,88,0,4,Personal Auto,Offer1,Web,936.0,SUV,Medsize,2011,2,9
TO96662,Oregon,6966.694527,No,Extended,Bachelor,2011-01-19,Employed,F,41837.0,Rural,Married,88.0,29,93,0,9,Personal Auto,Offer1,Call Center,142.062768,Four-Door Car,Small,2011,1,19
MR52087,California,7694.064293,No,Basic,Bachelor,2011-01-04,Employed,F,32303.0,Rural,Married,65.0,13,34,0,2,Personal Auto,Offer3,Branch,45.152521,Four-Door Car,Medsize,2011,1,4
DE75225,Oregon,8717.561149,No,Basic,High School or Below,2011-01-09,Unemployed,M,0.0,Suburban,Married,117.0,5,89,1,3,Personal Auto,Offer1,Agent,561.6,SUV,Medsize,2011,1,9
EP80820,California,5928.748528,No,Basic,Bachelor,2011-01-27,Employed,F,40531.0,Rural,Married,74.0,17,32,0,9,Personal Auto,Offer1,Agent,30.567357,Two-Door Car,Medsize,2011,1,27
GU99037,Oregon,2452.977288,No,Basic,College,2011-02-14,Employed,M,79898.0,Urban,Married,62.0,5,86,1,1,Corporate Auto,Offer4,Agent,271.606799,Four-Door Car,Medsize,2011,2,14
WI57118,California,6701.571657,No,Extended,College,2011-02-27,Employed,M,56398.0,Suburban,Married,85.0,4,18,0,7,Personal Auto,Offer4,Agent,408.0,Four-Door Car,Small,2011,2,27
YQ74870,Washington,7556.24034,No,Extended,High School or Below,2011-02-12,Employed,M,35257.0,Suburban,Divorced,98.0,16,2,1,8,Corporate Auto,Offer2,Web,470.4,Four-Door Car,Small,2011,2,12
MQ14219,Arizona,8492.6988,No,Basic,College,2011-02-26,Employed,M,27804.0,Suburban,Married,109.0,19,54,0,7,Personal Auto,Offer2,Branch,784.8,SUV,Medsize,2011,2,26
KN20603,Oregon,7713.494046,No,Basic,Bachelor,2011-02-20,Employed,M,45506.0,Suburban,Single,66.0,16,32,2,2,Personal Auto,Offer1,Agent,316.8,Four-Door Car,Medsize,2011,2,20
CR48975,Washington,24084.5352,No,Basic,High School or Below,2011-02-02,Employed,M,65196.0,Suburban,Married,67.0,0,54,0,2,Personal Auto,Offer4,Branch,396.082036,Four-Door Car,Medsize,2011,2,2
JI70886,California,7290.069769,No,Basic,High School or Below,2011-02-15,Unemployed,M,0.0,Suburban,Married,102.0,11,70,1,3,Corporate Auto,Offer1,Agent,489.6,SUV,Medsize,2011,2,15
VF72557,Oregon,4772.943848,Yes,Extended,High School or Below,2011-02-18,Unemployed,M,20993.0,Suburban,Divorced,133.0,35,90,0,1,Personal Auto,Offer2,Agent,638.4,SUV,Medsize,2011,2,18
OX28638,Arizona,6806.491395,No,Extended,High School or Below,2011-01-21,Employed,M,37839.0,Suburban,Married,86.0,35,77,0,9,Personal Auto,Offer2,Branch,465.633954,Two-Door Car,Medsize,2011,1,21
SK55033,California,2469.781334,No,Basic,Bachelor,2011-01-15,Employed,F,92711.0,Suburban,Single,62.0,24,10,0,1,Personal Auto,Offer3,Agent,368.400146,Two-Door Car,Medsize,2011,1,15
OO88645,California,3103.923041,No,Extended,College,2011-02-05,Employed,F,74665.0,Urban,Married,78.0,10,90,2,1,Corporate Auto,Offer2,Call Center,236.902001,Four-Door Car,Medsize,2011,2,5
YT36855,Washington,2981.875575,No,Extended,College,2011-02-24,Unemployed,M,0.0,Suburban,Married,83.0,26,89,0,1,Personal Auto,Offer3,Web,582.679087,Two-Door Car,Medsize,2011,2,24
CW82151,California,8902.737595,No,Basic,Bachelor,2011-01-05,Employed,M,46833.0,Rural,Married,112.0,6,3,0,9,Personal Auto,Offer1,Call Center,64.109663,Luxury-Sport,Medsize,2011,1,5
DY22043,Oregon,5499.447223,No,Basic,High School or Below,2011-01-28,Employed,F,88768.0,Suburban,Married,68.0,17,77,0,7,Personal Auto,Offer3,Branch,326.4,Two-Door Car,Small,2011,1,28
SH36774,California,15023.59858,No,Basic,High School or Below,2011-01-12,Employed,M,28262.0,Suburban,Single,192.0,9,77,0,3,Personal Auto,Offer3,Web,921.6,Luxury-Sport,Medsize,2011,1,12
EM43724,Nevada,2509.107875,No,Basic,Bachelor,2011-02-16,Employed,F,33555.0,Rural,Married,63.0,17,11,0,1,Personal Auto,Offer1,Agent,101.89645,Four-Door Car,Medsize,2011,2,16
FH85960,Oregon,31221.7481,No,Premium,College,2011-01-03,Employed,M,42780.0,Suburban,Divorced,113.0,10,27,1,2,Personal Auto,Offer1,Call Center,542.4,Four-Door Car,Medsize,2011,1,3
XA55993,Oregon,3133.503432,No,Extended,High-level-degree,2011-02-07,Employed,F,58850.0,Rural,Single,78.0,20,26,0,1,Personal Auto,Offer2,Branch,143.747794,Four-Door Car,Medsize,2011,2,7
GO36627,Arizona,3837.451863,No,Extended,College,2011-01-13,Employed,M,21880.0,Urban,Married,97.0,29,37,0,1,Special Auto,Offer1,Branch,424.077159,Four-Door Car,Medsize,2011,1,13
QH48047,Oregon,11790.49617,Yes,Basic,College,2011-01-03,Unemployed,M,25251.0,Suburban,Divorced,66.0,13,43,0,2,Personal Auto,Offer2,Web,316.8,Four-Door Car,Medsize,2011,1,3
RB50392,Washington,7838.068321,No,Basic,High-level-degree,2011-02-17,Unemployed,F,0.0,Rural,Married,69.0,9,12,0,2,Personal Auto,Offer2,Agent,2.704934,Four-Door Car,Medsize,2011,2,17
